"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Straubing",0.2,6.7,6.2,1.2,11.4,5.7,14.6
"Deggendorf, Landkreis",2.1,15,14.1,8.2,15.4,8.5,19.5
"Freyung-Grafenau, Landkreis",1.4,8.2,7.9,4,8.8,2.5,11.5
"Kelheim, Landkreis",2.2,14.5,14,4.8,12,5.7,14.2
"Landshut, Landkreis",3.4,16.5,15.4,6.6,14.4,9.5,11.7
"Passau, Landkreis",3.6,23.8,22.6,7.5,22.4,7.1,21.4
"Regen, Landkreis",1.3,10.5,10.2,3.6,8.7,4.3,10.8
"Rottal-Inn, Landkreis",3.4,12.5,12.1,5.6,12.9,6.3,14.9
"Straubing-Bogen, Landkreis",3,10,9.8,4.1,7.2,3,11
"Dingolfing-Landau, Landkreis",3.1,31.1,30.9,3.2,12,7.7,9.8
"Amberg",0.1,10.1,10,1.4,6.2,4.9,12.5
"Regensburg",0.3,34.1,32.7,3,34.6,27.4,51.8
"Weiden i.d.OPf.",0.2,6.5,6.2,1.4,13.7,6.2,12.9
"Amberg-Sulzbach, Landkreis",1.5,10.4,9.4,3.6,8.7,3.7,11.3
"Cham, Landkreis",3,21.4,20.9,7.4,15.6,6.2,17.6
"Neumarkt i.d.OPf., Landkreis",1.8,16.9,16.4,8.4,13.9,7.4,16.1
"Neustadt a.d.Waldnaab, Landkreis",1.8,14,13.5,2.8,7,3,10.3
"Regensburg, Landkreis",2.4,15.5,15,5.6,17.1,8,15.8
"Schwandorf, Landkreis",2.4,23,21.9,4.3,15.8,10.1,19.4
"Tirschenreuth, Landkreis",1.7,11.2,11,3.5,6.6,3,8.2
"Bamberg",0.2,16.8,15.6,2.5,16.8,11.9,25.5
"Bayreuth",0.3,9.1,7.6,2.9,13.1,11.1,28.7
"Coburg",0.1,9.9,9.3,1,7.2,12,12.7
"Hof",0.1,4.6,4.3,0.9,10.1,5.4,12.5
"Bamberg, Landkreis",1.5,13.5,13.2,5.3,15.4,5.9,10.7
"Bayreuth, Landkreis",1.5,8.4,8,3.1,8.9,3.9,8.5
"Coburg, Landkreis",0.8,14.6,14.1,2.5,8.4,2.7,8
"Forchheim, Landkreis",1,10.6,10.3,3.4,10.7,5.8,12.2
"Hof, Landkreis",1.3,17.5,17,3.3,12.3,3.3,10.9
"Kronach, Landkreis",0.7,13,12.4,1.8,6,3.8,7.9
"Kulmbach, Landkreis",0.8,9.9,9.5,3,8.4,4,10.6
"Lichtenfels, Landkreis",0.6,10.1,9.9,2.2,9.7,4,10.5
"Wunsiedel i.Fichtelgebirge, Landkreis",0.7,12.9,12.4,1.8,7.6,4.5,10.9
"Ansbach",0.3,6.3,6.2,0.7,7.6,5.4,15.4
"Erlangen",0.2,33.8,33.1,2.4,16.9,20.4,36
"Fürth",0.3,11.1,10.6,2.7,17.2,10.3,18.2
"Nürnberg",1.2,54.3,49.9,12.6,112.3,94.8,106.1
"Schwabach",0.1,5.7,5.5,1.1,5.2,3.4,6.4
"Ansbach, Landkreis",3.1,25.8,25.3,7.9,17.1,6.7,20.7
"Erlangen-Höchstadt, Landkreis",0.7,26.1,25.9,2.7,13.5,6,13.3
"Fürth, Landkreis",0.6,8.6,8.4,3.2,9,4.1,9.8
